Dimension_1	Dimension_2
89.498245	-15.6205635
-60.718662	38.68135
94.60072	54.35153
-18.329979	-30.552242
-45.13976	52.870995
-18.586006	110.23961
-72.77576	-83.978806
58.312954	-3.500998
59.837627	88.549675
-90.22455	13.426024
46.375618	53.350185
39.074432	-10.799099
-0.8225691	28.859064
17.257704	-108.17923
56.402565	-17.898958
-75.36218	-15.261684
78.973	-31.508518
-10.7524185	-16.229153
36.704525	-64.55779
17.963387	75.15678
-13.290889	-51.93773
-45.25398	-53.362617
-6.5849404	82.89758
9.189403	87.04994
-57.460728	-19.766464
-39.62373	91.813805
-48.09411	-24.38584
23.752605	82.1151
-0.72426325	101.70479
10.721277	-53.304195
-8.353123	-2.2156396
-24.442736	-37.703182
-11.7924	23.85042
-54.893833	-61.87479
66.22879	65.00558
55.50446	-53.456707
-50.338005	-46.645744
-13.801877	-67.86944
-7.0801	18.122705
-30.390247	27.68998
-101.36313	30.472078
-10.565943	-12.15949
-49.801876	54.802357
92.741005	53.008125
39.426395	-23.023266
46.555637	28.157547
28.436344	-30.631485
-10.268915	13.060648
7.1664114	-28.241905
-67.25393	65.09246
13.72618	38.036476
84.82605	-3.587461
54.18424	24.657679
11.008341	-107.51825
-41.07684	81.35631
-57.013588	-26.982971
-74.34168	-27.146849
20.322834	-58.502693
-24.099276	59.476784
18.191021	77.97072
-63.604553	20.502493
27.64778	-15.965275
-75.6221	-65.745255
-95.03612	47.674347
5.817485	-85.48607
17.712885	38.82136
-10.188064	2.6669054
-84.74013	-56.90529
59.42825	83.05853
57.4386	22.870728
18.805182	91.07945
-5.8434544	62.688084
-81.81824	7.8644
-55.414337	21.316286
-2.9668465	-63.91252
6.585994	-33.655865
96.565186	-29.10208
-10.98746	-23.443213
-10.198836	-79.28519
-40.55659	5.370021
-75.52901	-50.421455
-89.97935	-53.025146
-11.128971	46.863598
-63.657784	-19.675177
21.476624	-66.67599
84.19708	-73.6346
2.0578597	-10.551956
-10.2314005	-56.562157
-39.66149	12.936838
-12.28039	-70.681915
34.512745	-11.13495
-14.148592	80.500114
42.863705	65.854614
15.95041	80.4953
-45.996273	-32.22645
