Dimension_1	Dimension_2	Dimentions_3
10.313818	37.093853	-9.29513
47.20709	-10.957242	6.7113957
25.934805	17.229296	20.424028
-13.753089	39.584538	26.947632
-33.767075	-6.87598	-1.8150741
-18.787298	29.881441	6.0908895
19.223038	-45.87963	-5.6508512
-10.9820385	13.929572	4.4062505
0.040560182	-42.805096	-3.8712213
-3.3977547	13.9998665	-26.169264
-6.4968204	24.345068	-11.72357
4.4014893	-1.2133095	17.444324
8.122435	12.641908	-37.694897
-6.109037	30.95505	3.2066033
-19.251833	-11.809802	-38.222427
-8.665257	-22.683216	45.662834
-26.615204	16.38145	24.568779
-1.7651463	-0.16464473	34.999313
8.2375145	18.036478	-46.28668
-5.318679	-15.653343	-3.23572
40.36491	23.34677	-15.363277
-39.734512	-21.87708	12.99238
0.33480448	41.170063	1.2907509
18.131523	-6.343834	1.4655007
-15.54926	5.5467143	10.566483
5.3883443	-5.679752	21.353447
42.388584	3.4542055	20.702168
28.29901	-24.326971	32.893085
31.850481	-8.917627	-7.369648
18.767084	-11.727794	-23.696392
23.818684	-26.883577	20.565834
16.665922	21.713829	8.563119
-2.116693	19.914215	-3.0648985
11.101691	-4.442275	-2.7567866
28.390026	5.10109	7.150597
0.15207334	-15.076856	-6.5219126
24.559929	-24.989832	-16.517452
-43.87884	10.14372	-26.20681
10.539827	3.8606727	-16.262302
7.546462	21.889015	1.4895909
6.524345	26.259523	25.502829
-20.961618	9.5108385	-25.592932
-20.07049	9.237797	13.925797
18.82974	1.6524258	2.5848641
36.856544	-2.8644807	30.978842
-44.034985	-9.188168	4.16021
-20.339304	36.52043	-20.652607
-9.8931675	0.3759988	11.845901
18.690054	30.953604	1.316425
-30.876045	-30.913746	-11.093824
10.169549	-14.881901	42.985092
-6.346679	-21.85141	-44.859737
18.517595	3.5651262	-37.623436
-35.36272	-16.523499	-15.811365
-11.724015	-19.417917	4.454303
6.954461	-9.521302	10.539222
-3.2220206	-43.68871	-11.6350975
24.985142	-5.1737275	-3.734638
-19.835772	-7.402893	-12.209899
6.658498	-32.738277	34.30199
7.159783	-13.735975	-26.493336
-4.1521983	-8.23601	-5.2396564
53.098164	10.325708	-4.636979
-23.899668	-32.851147	12.772015
28.50434	-43.98354	-5.726555
11.881043	-4.0267906	-1.7539564
18.097471	-25.712978	-3.4311728
21.546492	6.778628	-4.4263597
24.717442	16.257135	27.233135
35.043453	-10.313319	7.102645
34.522602	4.8796024	-2.345257
39.402416	-22.505508	0.39115813
32.074368	-13.982485	11.668708
